day,day_of_year,weekday,hour,is_weekend,temp_c,load_kw,in_tariff_peak,is_demand_peak
6,7,6,17,1,18.37,1.0588,0,0
6,7,6,18,1,17.15,0.6704,1,0
6,7,6,19,1,14.58,0.7804,1,0
6,7,6,20,1,15.95,1.1117,1,1
6,7,6,21,1,14.36,0.5979,1,0
6,7,6,22,1,11.86,0.5325,0,0
6,7,6,23,1,9.96,0.6173,0,0
7,8,0,0,0,9.0,0.1716,0,0
7,8,0,1,0,6.83,0.1512,0,0
7,8,0,2,0,7.97,0.1385,0,0
7,8,0,3,0,6.38,0.1509,0,0
7,8,0,4,0,9.05,0.1346,0,0
7,8,0,5,0,7.88,0.3285,0,0
7,8,0,6,0,11.61,0.9088,0,1
7,8,0,7,0,10.12,0.2164,0,0
7,8,0,8,0,11.04,0.1778,0,0
7,8,0,9,0,13.15,0.1302,0,0
7,8,0,10,0,14.89,0.1838,0,0
7,8,0,11,0,16.06,0.1876,0,0
7,8,0,12,0,16.22,1.1955,0,1
7,8,0,13,0,17.35,0.2076,0,0
7,8,0,14,0,19.29,0.247,0,0
7,8,0,15,0,20.07,0.2188,0,0
7,8,0,16,0,19.72,0.1351,0,0
7,8,0,17,0,19.56,0.2642,0,0
7,8,0,18,0,19.56,0.6642,1,0
7,8,0,19,0,16.5,0.6862,1,1
7,8,0,20,0,15.06,0.4533,1,0
7,8,0,21,0,13.19,0.4682,1,0
7,8,0,22,0,12.22,0.4461,0,0
7,8,0,23,0,12.31,0.5028,0,0
8,9,1,0,0,9.52,0.1727,0,0
8,9,1,1,0,9.39,0.1604,0,0
8,9,1,2,0,7.11,0.168,0,0
8,9,1,3,0,6.85,0.1805,0,0
8,9,1,4,0,8.72,0.133,0,0
8,9,1,5,0,9.21,0.302,0,0
8,9,1,6,0,8.34,0.6973,0,0
8,9,1,7,0,10.77,1.098,0,1
8,9,1,8,0,9.34,0.2757,0,0
8,9,1,9,0,14.23,0.935,0,0
8,9,1,10,0,14.52,0.1576,0,0
8,9,1,11,0,16.54,0.2348,0,0
8,9,1,12,0,16.69,0.293,0,0
8,9,1,13,0,18.54,0.2606,0,0
8,9,1,14,0,17.69,0.3009,0,0
8,9,1,15,0,18.17,0.2705,0,0
8,9,1,16,0,20.24,0.2794,0,0
8,9,1,17,0,16.96,0.2464,0,0
8,9,1,18,0,19.37,0.695,1,0
8,9,1,19,0,16.01,1.0117,1,1
8,9,1,20,0,14.06,1.2659,1,1
8,9,1,21,0,13.29,0.6154,1,0
8,9,1,22,0,12.02,0.499,0,0
8,9,1,23,0,12.46,0.772,0,0
9,10,2,0,0,9.86,0.1439,0,0
9,10,2,1,0,8.04,0.1276,0,0
9,10,2,2,0,7.01,0.1795,0,0
9,10,2,3,0,9.14,0.1324,0,0
9,10,2,4,0,9.81,0.1405,0,0
9,10,2,5,0,9.31,0.3385,0,0
9,10,2,6,0,10.31,0.3815,0,0
9,10,2,7,0,11.74,0.25,0,0
9,10,2,8,0,13.07,0.2912,0,0
9,10,2,9,0,14.08,0.1942,0,0
9,10,2,10,0,15.11,1.0935,0,1
9,10,2,11,0,17.36,0.2828,0,0
9,10,2,12,0,17.92,0.2748,0,0
9,10,2,13,0,17.48,0.1388,0,0
9,10,2,14,0,19.73,1.0862,0,1
9,10,2,15,0,19.86,0.297,0,0
9,10,2,16,0,19.35,0.1942,0,0
9,10,2,17,0,19.6,0.3511,0,0
9,10,2,18,0,15.03,0.5341,1,0
9,10,2,19,0,15.98,0.5471,1,0
9,10,2,20,0,12.17,0.6023,1,0
9,10,2,21,0,14.15,0.6242,1,0
9,10,2,22,0,12.02,0.5094,0,0
9,10,2,23,0,9.94,0.6791,0,1
10,11,3,0,0,11.63,0.1671,0,0
10,11,3,1,0,7.9,0.172,0,0
10,11,3,2,0,8.21,0.1571,0,0
10,11,3,3,0,7.69,0.156,0,0
10,11,3,4,0,7.59,0.1402,0,0
10,11,3,5,0,8.14,0.2977,0,0
10,11,3,6,0,11.64,0.6174,0,0
10,11,3,7,0,9.69,0.3262,0,0
10,11,3,8,0,11.57,0.1876,0,0
10,11,3,9,0,13.74,0.1646,0,0
10,11,3,10,0,15.39,0.1709,0,0
10,11,3,11,0,17.3,0.2677,0,0
10,11,3,12,0,17.48,1.127,0,1
10,11,3,13,0,18.18,0.143,0,0
10,11,3,14,0,16.57,0.1952,0,0
10,11,3,15,0,18.51,0.2386,0,0
10,11,3,16,0,21.51,0.2617,0,0
10,11,3,17,0,18.04,0.3338,0,0
10,11,3,18,0,17.85,0.6496,1,0
10,11,3,19,0,15.21,1.1378,1,1
10,11,3,20,0,16.13,0.4816,1,0
10,11,3,21,0,12.12,0.6953,1,1
10,11,3,22,0,10.02,0.5482,0,0
10,11,3,23,0,12.09,0.5489,0,0
11,12,4,0,0,8.31,0.1463,0,0
11,12,4,1,0,9.07,0.1412,0,0
11,12,4,2,0,7.64,0.1652,0,0
11,12,4,3,0,9.65,0.1615,0,0
11,12,4,4,0,8.65,0.1359,0,0
11,12,4,5,0,8.81,0.2553,0,0
11,12,4,6,0,11.71,0.5766,0,0
11,12,4,7,0,12.17,0.6163,0,0
11,12,4,8,0,11.38,0.1719,0,0
11,12,4,9,0,13.69,0.1262,0,0
11,12,4,10,0,14.54,0.1883,0,0
11,12,4,11,0,16.67,0.1822,0,0
11,12,4,12,0,16.39,0.1796,0,0
11,12,4,13,0,18.64,0.225,0,0
11,12,4,14,0,18.34,0.1567,0,0
11,12,4,15,0,17.51,0.2233,0,0
11,12,4,16,0,18.74,0.1626,0,0
11,12,4,17,0,19.13,0.2439,0,0
11,12,4,18,0,17.66,0.6453,1,0
11,12,4,19,0,15.94,0.6732,1,1
11,12,4,20,0,15.63,0.6047,1,0
11,12,4,21,0,13.75,0.6135,1,0
11,12,4,22,0,12.37,0.7094,0,1
11,12,4,23,0,11.52,0.6503,0,1
12,13,5,0,1,9.15,0.1662,0,0
12,13,5,1,1,9.43,0.1559,0,0
12,13,5,2,1,7.58,0.1358,0,0
12,13,5,3,1,6.11,0.1781,0,0
12,13,5,4,1,7.04,0.1679,0,0
12,13,5,5,1,9.11,0.319,0,0
12,13,5,6,1,8.66,0.7141,0,0
12,13,5,7,1,10.58,0.8146,0,1
12,13,5,8,1,12.82,0.2306,0,0
12,13,5,9,1,14.97,0.3105,0,0
12,13,5,10,1,16.2,0.203,0,0
12,13,5,11,1,15.67,0.1343,0,0
12,13,5,12,1,19.55,0.2651,0,0
12,13,5,13,1,17.41,0.1161,0,0
12,13,5,14,1,16.59,0.1267,0,0
12,13,5,15,1,17.59,0.2658,0,0
12,13,5,16,1,18.5,0.2569,0,0
12,13,5,17,1,17.51,0.3045,0,0
12,13,5,18,1,16.44,0.7081,1,0
12,13,5,19,1,15.97,1.0561,1,1
12,13,5,20,1,14.79,0.9445,1,1
12,13,5,21,1,13.28,0.5561,1,0
12,13,5,22,1,12.69,0.5405,0,0
12,13,5,23,1,12.12,0.5485,0,0
13,14,6,0,1,8.25,0.1269,0,0
13,14,6,1,1,9.46,0.1904,0,0
13,14,6,2,1,7.2,0.1428,0,0
13,14,6,3,1,8.26,0.1665,0,0
13,14,6,4,1,6.93,0.1401,0,0
13,14,6,5,1,9.37,0.3013,0,0
13,14,6,6,1,9.59,0.6772,0,0
13,14,6,7,1,11.19,0.8656,0,0
13,14,6,8,1,12.02,0.2862,0,0
13,14,6,9,1,13.16,0.1322,0,0
13,14,6,10,1,15.25,1.1031,0,0
13,14,6,11,1,16.81,1.0671,0,0
13,14,6,12,1,17.88,0.2307,0,0
13,14,6,13,1,19.64,0.3794,0,0
13,14,6,14,1,18.29,0.3499,0,0
13,14,6,15,1,19.24,1.2599,0,1
13,14,6,16,1,20.05,0.3697,0,0
13,14,6,17,1,17.74,1.198,0,1
13,14,6,18,1,17.02,0.755,1,0
13,14,6,19,1,16.47,1.1339,1,1
13,14,6,20,1,15.28,1.1069,1,0
13,14,6,21,1,12.49,0.7849,1,0
13,14,6,22,1,11.36,0.5153,0,0
13,14,6,23,1,9.11,0.6424,0,0
14,15,0,0,0,11.2,0.1517,0,0
14,15,0,1,0,9.75,0.1337,0,0
14,15,0,2,0,7.46,0.1378,0,0
14,15,0,3,0,7.53,0.1215,0,0
14,15,0,4,0,6.78,0.1477,0,0
14,15,0,5,0,8.79,0.1996,0,0
14,15,0,6,0,10.08,0.9486,0,1
14,15,0,7,0,9.9,0.7403,0,0
14,15,0,8,0,12.02,0.2088,0,0
14,15,0,9,0,14.53,0.2054,0,0
14,15,0,10,0,14.18,0.2446,0,0
14,15,0,11,0,16.97,0.2356,0,0
14,15,0,12,0,16.56,0.218,0,0
14,15,0,13,0,18.12,0.1686,0,0
14,15,0,14,0,17.91,0.1225,0,0
14,15,0,15,0,20.27,0.2877,0,0
14,15,0,16,0,20.35,0.1829,0,0
14,15,0,17,0,18.56,0.2558,0,0
14,15,0,18,0,17.19,0.5692,1,0
14,15,0,19,0,15.16,0.5417,1,0
14,15,0,20,0,14.01,0.7882,1,1
14,15,0,21,0,13.45,0.7169,1,0
14,15,0,22,0,11.25,0.7566,0,1
14,15,0,23,0,9.12,0.4929,0,0
15,16,1,0,0,11.46,0.1396,0,0
15,16,1,1,0,7.64,0.1272,0,0
15,16,1,2,0,9.53,0.1324,0,0
15,16,1,3,0,8.47,0.1307,0,0
15,16,1,4,0,7.09,0.1776,0,0
15,16,1,5,0,8.15,0.1901,0,0
15,16,1,6,0,9.5,0.9125,0,1
15,16,1,7,0,9.83,0.9717,0,1
15,16,1,8,0,11.91,0.2453,0,0
15,16,1,9,0,11.41,0.2711,0,0
15,16,1,10,0,16.15,0.1946,0,0
15,16,1,11,0,16.55,0.1308,0,0
15,16,1,12,0,17.55,0.1748,0,0
15,16,1,13,0,19.11,0.2411,0,0
15,16,1,14,0,19.28,0.1631,0,0
15,16,1,15,0,19.07,0.145,0,0
15,16,1,16,0,19.13,0.2716,0,0
15,16,1,17,0,17.41,0.1539,0,0
15,16,1,18,0,17.18,0.5587,1,0
15,16,1,19,0,17.1,1.196,1,1
15,16,1,20,0,15.73,0.7595,1,0
15,16,1,21,0,14.36,0.6712,1,0
15,16,1,22,0,11.01,0.5057,0,0
15,16,1,23,0,10.47,0.3585,0,0
16,17,2,0,0,10.2,0.1683,0,0
16,17,2,1,0,9.05,0.1752,0,0
16,17,2,2,0,9.75,0.1295,0,0
16,17,2,3,0,7.63,0.1711,0,0
16,17,2,4,0,9.95,0.1807,0,0
16,17,2,5,0,8.97,0.2422,0,0
16,17,2,6,0,9.38,0.8135,0,0
16,17,2,7,0,11.62,1.0013,0,0
16,17,2,8,0,12.48,0.2173,0,0
16,17,2,9,0,13.34,0.151,0,0
16,17,2,10,0,15.14,0.1378,0,0
16,17,2,11,0,16.24,0.2782,0,0
16,17,2,12,0,19.67,0.1504,0,0
16,17,2,13,0,19.47,0.2083,0,0
16,17,2,14,0,16.21,0.1329,0,0
16,17,2,15,0,19.25,1.2337,0,1
16,17,2,16,0,19.98,1.0833,0,1
16,17,2,17,0,18.75,0.1466,0,0
16,17,2,18,0,18.76,0.5436,1,0
16,17,2,19,0,17.49,1.0782,1,1
16,17,2,20,0,15.02,0.9664,1,0
16,17,2,21,0,12.98,0.6517,1,0
16,17,2,22,0,14.71,0.6602,0,0
16,17,2,23,0,11.45,0.6422,0,0
17,18,3,0,0,9.57,0.1738,0,0
17,18,3,1,0,8.43,0.1593,0,0
17,18,3,2,0,6.95,0.1743,0,0
17,18,3,3,0,9.09,0.156,0,0
17,18,3,4,0,7.1,0.1332,0,0
17,18,3,5,0,10.37,0.2936,0,0
17,18,3,6,0,10.48,0.919,0,1
17,18,3,7,0,12.51,0.3104,0,0
17,18,3,8,0,12.56,0.1872,0,0
17,18,3,9,0,13.0,0.1513,0,0
17,18,3,10,0,15.21,0.214,0,0
17,18,3,11,0,18.72,0.2371,0,0
17,18,3,12,0,16.86,0.1341,0,0
17,18,3,13,0,17.84,0.2375,0,0
17,18,3,14,0,19.8,0.131,0,0
17,18,3,15,0,17.85,0.2253,0,0
17,18,3,16,0,18.57,0.8887,0,1
17,18,3,17,0,18.2,0.27,0,0
17,18,3,18,0,17.81,0.5191,1,0
17,18,3,19,0,16.6,0.7594,1,0
17,18,3,20,0,14.36,1.0763,1,1
17,18,3,21,0,14.02,0.5754,1,0
17,18,3,22,0,11.45,0.4848,0,0
17,18,3,23,0,9.57,0.5863,0,0
18,19,4,0,0,9.21,0.1599,0,0
18,19,4,1,0,9.27,0.1627,0,0
18,19,4,2,0,8.74,0.1649,0,0
18,19,4,3,0,8.66,0.1284,0,0
18,19,4,4,0,6.77,0.163,0,0
18,19,4,5,0,9.89,0.2958,0,0
18,19,4,6,0,11.63,0.9188,0,0
18,19,4,7,0,10.56,1.0196,0,1
18,19,4,8,0,12.82,0.2658,0,0
18,19,4,9,0,14.67,0.136,0,0
18,19,4,10,0,16.66,0.2623,0,0
18,19,4,11,0,16.31,0.2308,0,0
18,19,4,12,0,17.32,0.2135,0,0
18,19,4,13,0,17.96,0.9359,0,0
18,19,4,14,0,17.26,0.1583,0,0
18,19,4,15,0,17.77,0.1555,0,0
18,19,4,16,0,17.52,0.9016,0,0
18,19,4,17,0,18.56,0.9983,0,1
18,19,4,18,0,16.73,0.49,1,0
18,19,4,19,0,18.33,0.608,1,0
18,19,4,20,0,15.58,1.2797,1,1
18,19,4,21,0,13.55,0.6311,1,0
18,19,4,22,0,14.01,0.5843,0,0
18,19,4,23,0,10.78,0.598,0,0
19,20,5,0,1,7.31,0.1666,0,0
19,20,5,1,1,7.01,0.1661,0,0
19,20,5,2,1,8.98,0.1528,0,0
19,20,5,3,1,7.86,0.1668,0,0
19,20,5,4,1,9.42,0.1401,0,0
19,20,5,5,1,7.97,0.2082,0,0
19,20,5,6,1,8.67,0.9312,0,1
19,20,5,7,1,10.0,0.8948,0,0
19,20,5,8,1,10.87,0.1942,0,0
19,20,5,9,1,14.04,0.1963,0,0
19,20,5,10,1,14.81,1.2306,0,1
19,20,5,11,1,17.35,0.2426,0,0
19,20,5,12,1,19.09,0.1889,0,0
19,20,5,13,1,17.04,0.2586,0,0
19,20,5,14,1,18.11,0.3033,0,0
19,20,5,15,1,21.06,0.3629,0,0
19,20,5,16,1,20.33,0.4223,0,0
19,20,5,17,1,18.07,0.2838,0,0
19,20,5,18,1,19.06,0.546,1,0
19,20,5,19,1,14.95,0.8094,1,0
19,20,5,20,1,14.65,1.1322,1,1
19,20,5,21,1,12.8,0.6185,1,0
19,20,5,22,1,13.12,0.5415,0,0
19,20,5,23,1,9.51,0.6522,0,0
20,21,6,0,1,9.73,0.1497,0,0
20,21,6,1,1,9.29,0.1377,0,0
20,21,6,2,1,8.57,0.1298,0,0
20,21,6,3,1,5.56,0.1355,0,0
20,21,6,4,1,8.94,0.1598,0,0
20,21,6,5,1,9.0,0.2758,0,0
20,21,6,6,1,7.98,0.8018,0,0
20,21,6,7,1,11.94,0.9467,0,0
20,21,6,8,1,13.74,0.1843,0,0
20,21,6,9,1,11.88,0.2191,0,0
20,21,6,10,1,15.21,0.192,0,0
20,21,6,11,1,17.86,1.243,0,1
20,21,6,12,1,18.17,0.2672,0,0
20,21,6,13,1,17.06,1.2786,0,1
20,21,6,14,1,17.63,1.2301,0,1
20,21,6,15,1,18.1,0.3381,0,0
20,21,6,16,1,18.03,0.3812,0,0
20,21,6,17,1,17.79,0.3896,0,0
20,21,6,18,1,18.08,0.6222,1,0
20,21,6,19,1,15.54,0.481,1,0
20,21,6,20,1,15.5,0.5488,1,0
20,21,6,21,1,14.27,0.5466,1,0
20,21,6,22,1,12.83,0.5207,0,0
20,21,6,23,1,10.35,0.6566,0,0
21,22,0,0,0,10.1,0.1258,0,0
21,22,0,1,0,8.08,0.1357,0,0
21,22,0,2,0,7.69,0.1518,0,0
21,22,0,3,0,6.83,0.1458,0,0
21,22,0,4,0,7.46,0.1497,0,0
21,22,0,5,0,8.12,0.3036,0,0
21,22,0,6,0,10.22,0.6912,0,1
21,22,0,7,0,9.88,0.6472,0,0
21,22,0,8,0,11.28,0.1641,0,0
21,22,0,9,0,14.07,0.122,0,0
21,22,0,10,0,15.94,0.1896,0,0
21,22,0,11,0,16.0,1.0821,0,1
21,22,0,12,0,20.29,0.2844,0,0
21,22,0,13,0,17.48,0.1663,0,0
21,22,0,14,0,19.54,0.1564,0,0
21,22,0,15,0,18.48,0.3021,0,0
21,22,0,16,0,17.75,0.2078,0,0
21,22,0,17,0,17.45,0.2499,0,0
21,22,0,18,0,17.4,0.6077,1,0
21,22,0,19,0,16.51,0.5635,1,0
21,22,0,20,0,13.19,0.5597,1,0
21,22,0,21,0,14.18,0.5266,1,0
21,22,0,22,0,11.17,0.6563,0,1
21,22,0,23,0,9.79,0.3797,0,0
22,23,1,0,0,10.01,0.1458,0,0
22,23,1,1,0,9.01,0.1525,0,0
22,23,1,2,0,7.84,0.148,0,0
22,23,1,3,0,7.84,0.1522,0,0
22,23,1,4,0,5.16,0.1541,0,0
22,23,1,5,0,9.03,0.2862,0,0
22,23,1,6,0,10.38,0.6842,0,0
22,23,1,7,0,10.74,0.8327,0,1
22,23,1,8,0,13.67,0.1345,0,0
22,23,1,9,0,13.47,0.1814,0,0
22,23,1,10,0,16.65,0.129,0,0
22,23,1,11,0,16.04,0.2835,0,0
22,23,1,12,0,17.42,0.254,0,0
22,23,1,13,0,19.45,0.2603,0,0
22,23,1,14,0,19.34,0.1981,0,0
22,23,1,15,0,19.91,0.254,0,0
22,23,1,16,0,18.87,0.2102,0,0
22,23,1,17,0,19.02,0.2525,0,0
22,23,1,18,0,14.95,0.5454,1,0
22,23,1,19,0,16.75,1.1402,1,1
22,23,1,20,0,14.16,0.7461,1,1
22,23,1,21,0,13.66,0.5243,1,0
22,23,1,22,0,12.13,0.6239,0,0
22,23,1,23,0,12.2,0.6029,0,0
23,24,2,0,0,7.71,0.1672,0,0
23,24,2,1,0,7.22,0.1295,0,0
23,24,2,2,0,7.7,0.1745,0,0
23,24,2,3,0,9.31,0.1376,0,0
23,24,2,4,0,7.48,0.1447,0,0
23,24,2,5,0,8.75,0.2249,0,0
23,24,2,6,0,9.56,0.661,0,0
23,24,2,7,0,10.59,0.8102,0,1
23,24,2,8,0,10.96,0.2528,0,0
23,24,2,9,0,13.35,0.1297,0,0
23,24,2,10,0,15.25,0.2144,0,0
23,24,2,11,0,15.63,0.1631,0,0
23,24,2,12,0,16.89,0.2873,0,0
23,24,2,13,0,18.29,0.1512,0,0
23,24,2,14,0,19.02,0.2972,0,0
23,24,2,15,0,19.26,0.2116,0,0
23,24,2,16,0,19.97,0.2263,0,0
23,24,2,17,0,18.14,0.2115,0,0
23,24,2,18,0,16.76,0.7891,1,1
23,24,2,19,0,15.78,0.7889,1,0
23,24,2,20,0,14.77,1.2042,1,1
23,24,2,21,0,13.73,0.6862,1,0
23,24,2,22,0,13.01,0.6647,0,0
23,24,2,23,0,9.75,0.6796,0,0
24,25,3,0,0,10.74,0.1234,0,0
24,25,3,1,0,10.01,0.1872,0,0
24,25,3,2,0,7.93,0.175,0,0
24,25,3,3,0,8.21,0.1872,0,0
24,25,3,4,0,7.45,0.1435,0,0
24,25,3,5,0,8.95,0.3603,0,0
24,25,3,6,0,8.98,0.9603,0,1
24,25,3,7,0,10.53,0.7791,0,0
24,25,3,8,0,11.12,0.2256,0,0
24,25,3,9,0,15.19,0.1928,0,0
24,25,3,10,0,15.78,1.072,0,1
24,25,3,11,0,14.83,0.1894,0,0
24,25,3,12,0,19.61,0.1271,0,0
24,25,3,13,0,18.99,0.251,0,0
24,25,3,14,0,19.37,0.2303,0,0
24,25,3,15,0,19.29,0.2202,0,0
24,25,3,16,0,18.03,0.1997,0,0
24,25,3,17,0,19.2,0.4037,0,0
24,25,3,18,0,16.86,0.5661,1,0
24,25,3,19,0,17.91,0.7845,1,0
24,25,3,20,0,14.51,0.5253,1,0
24,25,3,21,0,13.23,0.7571,1,0
24,25,3,22,0,12.06,0.8281,0,1
24,25,3,23,0,11.57,0.3867,0,0
25,26,4,0,0,9.47,0.1827,0,0
25,26,4,1,0,9.42,0.1281,0,0
25,26,4,2,0,7.99,0.1761,0,0
25,26,4,3,0,8.31,0.1407,0,0
25,26,4,4,0,10.53,0.172,0,0
25,26,4,5,0,7.82,0.3514,0,0
25,26,4,6,0,10.46,0.98,0,0
